velocity,bus current
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.127125
0.95727162972,0.5637409999999999
1.7852615490800001,0.9739399999999999
0.064589629254,1.0757
0.078277017726,1.31571
0.078277017726,1.59731
0.152178580812,1.8272599999999999
0.21391208507400003,1.82028
0.29169473906,1.9225400000000001
0.48886310454,2.21829
0.6419011177,2.30553
0.70310603304,2.47579
0.7987195594600001,2.31032
0.9987959469400002,2.6846200000000002
1.0622624086199999,2.80819
1.2008855804200003,2.62775
1.26704308092,2.86443
1.42843606498,3.05996
1.3815453287000004,2.99039
1.5203496926400002,3.01127
1.5035927751000002,2.92594
1.6550604563800002,3.1764
1.5972243726800002,3.0129200000000003
1.7038503547200001,3.64721
1.8513720738400001,3.3672800000000005
1.7711307991,3.5113800000000004
1.9773319283000004,3.7771199999999996
2.1881568124800004,3.82009
2.2454180026,3.9207699999999996
2.2203195358000003,3.6589099999999997
2.3369983262,3.6465400000000003
2.4475031622,4.3663
2.533893785,4.5780400000000006
2.7190676782,4.57704
2.8280066562,4.67751
2.9463855210000003,4.87638
3.0366236806,4.84676
3.1612436080000004,4.90112
3.3768398852,4.93007
3.5446327546000003,4.08971
3.4378636084000003,2.4442
3.4433888502,1.7128
3.645541118,1.69711
3.6786030912000003,2.10462
3.5561306262,2.4404
3.7130072284,2.44279
3.7794890852,2.43344
3.6514913784000003,2.5260700000000003
4.071879512600001,2.62935
3.9112001124,2.69184
4.1510448192,2.65517
4.0632449242,2.73926
4.248843836,2.6934400000000003
4.145899857200001,2.23637
4.3125742566000005,2.1091
4.134513832600001,1.2288299999999999
4.290540397600001,0.884223
4.0676740654,0.99113
4.2320220472,0.441217
4.0504048886,1.4461
4.2041274053999995,1.71285
4.0222641834,1.91326
4.0684793638,0.979924
3.8531962582,0.0336409
3.7944989526000006,0.0716686
3.8182552554,0.07519719999999999
3.5976034938000003,0.0509739
3.5055534128000003,3.07024
3.656166583,3.48885
3.6584035230000005,3.5610699999999995
3.5988114414000005,3.40858
3.828299116,3.56987
3.7126716874,3.65162
3.7158257728000006,3.55885
3.8693022262000003,3.62935
3.7731585450000003,3.2379599999999997
3.7850590658,3.78864
3.9961814630000005,4.087619999999999
3.7988609856000006,4.05715
4.0122426922,5.27554
4.045662575800001,5.89676
4.210301359800001,5.9787300000000005
4.306646365600001,6.07791
4.6496363758,6.31077
4.7692231882,6.4326
4.9118281132,7.4132
5.2111530546000004,10.1278
5.484753186000001,7.35085
5.6839303236,7.171939999999999
5.879349402,6.884530000000001
6.1905748642,6.72193
6.3532004022,6.712560000000001
6.3436039296,4.99027
6.2987309132,4.967
6.630424376400001,4.98476
6.615615833600001,5.05736
6.9911533208000005,5.218719999999999
6.9485843526,5.1144099999999995
7.3582128054,7.657960000000001
7.2928941574,4.15564
7.349645325200002,1.57819
7.459747512000001,0.293088
7.283141099000001,0.0
7.1728152182,1.37019
7.1754995462,4.6335
7.343158199200001,4.6795599999999995
7.294102105,4.7693
7.4980215554,3.98545
7.7083162847999995,2.30496
7.617451782000001,0.053477300000000005
7.5649060614,0.0
7.482676147,0.0
7.450978707200002,0.0
7.125078918600001,0.0
7.062668292600001,0.0
7.053295514,0.0
6.6548741306000005,0.0
6.887493521200001,0.0
6.665275901600001,0.0
6.724017946000001,2.10886
6.606086469200001,2.55954
6.3026008194,2.51462
6.0643890788000006,2.3521900000000002
6.0025376878,2.12126
5.880803413000001,2.2942299999999998
5.934982099800001,2.30589
5.8437596866,2.24497
5.941066576600001,2.1863
5.894493485800001,2.3596
